,concept_id,concept_name,hierarchy
24942,31844009,Ligation of intracranial artery (procedure),procedure
24943,31846006,Medium rales (finding),finding
24944,31848007,"Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia syndrome (disorder)",disorder
24948,31852007,Repair of eustachian tube (procedure),procedure
24951,31855009,Axillary-brachial artery vascular bypass (procedure),procedure
24954,31858006,Incision and drainage of submental space by intraoral approach (procedure),procedure
24956,31860008,Acute bacterial peritonitis (disorder),disorder
24957,31861007,Toxic effect of chlordane (disorder),disorder
24962,31870005,"Duchenne muscular dystrophy carrier detection, amniotic fluid (procedure)",procedure
24963,31871009,"Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft (disorder)",disorder
24967,31875000,Anergy (finding),finding
24969,31877008,Chagas' disease with other organ involvement (disorder),disorder
24971,31879006,Lives in a community (finding),finding
24973,31881008,Cardiovascular renal disease (disorder),disorder
24974,31882001,Closed fracture of T1-T6 level with spinal cord injury (disorder),disorder
24975,31883006,Fused structure (morphologic abnormality),morphologic abnormality
24978,31890001,"Crown lengthening, hard and soft tissue (procedure)",procedure
24980,31892009,Hemothorax (disorder),disorder
24982,31894005,Toxic effect of bromobenzyl cyanide (disorder),disorder
24987,31898008,Paraseptal emphysema (disorder),disorder
24991,31903007,Entire right middle cerebral artery (body structure),body structure
24992,31904001,Adrenalectomy (procedure),procedure
24993,31905000,"Ribosome, attached to outer nuclear membrane (cell structure)",cell structure
24994,31906004,Toxic effect of sulfuric acid (disorder),disorder
24995,31908003,Vaginal dryness (disorder),disorder
24996,31909006,Puborectalis sling operation (procedure),procedure
24999,31915006,Congenital deviation of ureter (disorder),disorder
25003,31919000,Excision of synovium of spine (procedure),procedure
25004,31920006,Hemorrhagic pneumonia caused by varicella (disorder),disorder
25005,31922003,Chronic generalized exfoliative dermatitis (disorder),disorder
25008,31925001,Hereditary factor I deficiency disease (disorder),disorder
25010,31927009,Entire outer surface of seventh rib (body structure),body structure
25011,31928004,Abscess of skin and/or subcutaneous tissue (disorder),disorder
25014,31934006,Structure of acromion (body structure),body structure
25015,31935007,Complication due to vaccination (disorder),disorder
25017,31937004,Embolectomy of descending aorta (procedure),procedure
25018,31938009,Repair of ruptured aneurysm with graft of iliac artery (procedure),procedure
25019,31939001,Repair of obstetric laceration of cervix (procedure),procedure
25020,31942007,Transection of greater occipital nerve (procedure),procedure
25021,31943002,Finger-to-floor distance test (procedure),procedure
25022,31944008,Chemocauterization of corneal epithelium (procedure),procedure
25023,31945009,Kyphotic pelvis (disorder),disorder
25025,31948006,Contact dermatitis caused by plastic (disorder),disorder
25026,31950003,Removal of caliper tongs from skull (procedure),procedure
25027,31951004,Open reduction of dislocation of knee (procedure),procedure
25030,31955008,Forefoot adduction correction test (procedure),procedure
25031,31956009,Cocaine dependence (disorder),disorder
25032,31957000,Superficial injury of nose without infection (disorder),disorder
25033,31958005,"Assessment and interpretation of higher cerebral function, developmental testing (procedure)",procedure
25036,31962004,"Pulmonary perfusion imaging, particulate (procedure)",procedure
25038,31965002,Prosthetic evaluation for artificial limb fitting (procedure),procedure
25040,31969008,Yaws gumma of bone (disorder),disorder
25042,31974000,Skin structure of medial surface of second toe (body structure),body structure
25043,31975004,Fracture of scaphoid bone (disorder),disorder
25044,31976003,Structure of trochlear nucleus (body structure),body structure
25045,31977007,Aneurysmectomy of lower limb artery (procedure),procedure
25046,31978002,Fracture of tibia (disorder),disorder
25048,31980008,Necrotizing inflammation (morphologic abnormality),morphologic abnormality
25050,31984004,Closed fracture of bones of trunk (disorder),disorder
25051,31988001,Flexible fiberoptic laryngoscopy with stroboscopy (procedure),procedure
25054,31991001,Leukocytic phagocytosis (finding),finding
25055,31992008,Secondary hypertension (disorder),disorder
25056,31993003,Toxic myocarditis (disorder),disorder
25057,31994009,Incision and drainage of retropharyngeal abscess by intraoral approach (procedure),procedure
25058,31995005,Structure of prepyloric vein (body structure),body structure
25059,31996006,Vasculitis (disorder),disorder
25060,31998007,"Echography, scan B-mode for fetal growth rate (procedure)",procedure
25061,31999004,Chronic gonococcal endometritis (disorder),disorder
25062,32000005,Difficulty using verbal communication (finding),finding
25063,32002002,Arthrotomy with biopsy of hip joint (procedure),procedure
25064,32003007,Congenital anomaly of face bones (disorder),disorder
25065,32004001,Structure of ureteropelvic junction (body structure),body structure
25066,32005000,Drainage of peritonsillar tissues (procedure),procedure
25068,32008003,Mild transitional cell atypia (morphologic abnormality),morphologic abnormality
25069,32009006,Hallucinogen hallucinosis (disorder),disorder
25070,32010001,"Secondary rhinoplasty, intermediate revision with osteotomies (procedure)",procedure
25071,32012009,Radioisotope scan of head (procedure),procedure
25075,32019000,Structure of septum of testis (body structure),body structure
25076,32021005,Pulp abscess of finger (disorder),disorder
25077,32022003,Degenerative progressive high myopia (disorder),disorder
25078,32023008,Removal of packing from vagina (procedure),procedure
25080,32025001,Structure of dorsal surface of finger (body structure),body structure
25081,32026000,Removal of prosthesis of joint structures of ankle (procedure),procedure
25085,32032005,Lower lip structure (body structure),body structure
25087,32035007,Chronic lymphadenitis (disorder),disorder
25088,32038009,Abscess of gallbladder (disorder),disorder
25091,32041000,Renal papilla structure (body structure),body structure
25093,32044008,Partial colectomy by abdominal approach (procedure),procedure
25094,32046005,Poisoning caused by amantadine (disorder),disorder
25097,32051004,Institutional environmental intervention (regime/therapy),regime/therapy
25100,32057000,Removal of foreign body from bursa of hand (procedure),procedure
25104,32061006,Urethral gland structure (body structure),body structure
25105,32062004,Common carotid artery structure (body structure),body structure
25106,32063009,"Delayed hypersensitivity skin test, multitest (procedure)",procedure
25107,32064003,Blister of flank without infection (disorder),disorder
25110,32067005,Acute emphysematous cholecystitis (disorder),disorder
25112,32069008,Chart abstracting by exception (procedure),procedure
25113,32070009,Increased renal clearance (finding),finding
25114,32071008,Strumal carcinoid (morphologic abnormality),morphologic abnormality
25119,32077007,Phlebectomy with anastomosis (procedure),procedure
25122,32081007,Excision of tooth from nasal sinus (procedure),procedure
25123,32082000,Competence (finding),finding
25125,32084004,Retroileal appendicitis (disorder),disorder
25126,32085003,Structure of medial condyle of tibia (body structure),body structure
25128,32087006,Philtrum structure (body structure),body structure
25131,32090000,Injection of larynx (procedure),procedure
25132,32091001,Repair of large intestine (procedure),procedure
25133,32092008,Toxic neutropenia (disorder),disorder
25134,32093003,Acute drug-induced tubulointerstitial nephritis (disorder),disorder
25135,32094009,Megaloblastic anemia caused by fish tapeworm (disorder),disorder
25137,32096006,Secondary dysmenorrhea (disorder),disorder
25138,32097002,Necrotizing inflammation of intestine (disorder),disorder
25141,32102004,Overlying behavior (finding),finding
25143,32104003,Labium minus structure (body structure),body structure
25144,32107005,Anomaly of chromosome pair 17 (disorder),disorder
25146,32110003,Disorder of anus (disorder),disorder
25147,32112006,Phlebitis of inferior sagittal sinus (disorder),disorder
25148,32113001,Syndactyly of toes (disorder),disorder
25149,32114007,Structure of occipital vein (body structure),body structure
25151,32117000,Sulfhemoglobinemia (disorder),disorder
25153,32119002,Structure of arch of second thoracic vertebra (body structure),body structure
25155,32121007,Hypertrophy of testis (disorder),disorder
25157,32123005,Hooft's syndrome (disorder),disorder
25158,32125003,Ipomoea poisoning (disorder),disorder
25159,32126002,Arthrotomy for infection with drainage of metacarpophalangeal joint (procedure),procedure
25161,32128001,Sprain of metacarpophalangeal joint (disorder),disorder
25172,32139003,Mixed dust pneumoconiosis (disorder),disorder
25173,32140001,Papillary cystadenoma (morphologic abnormality),morphologic abnormality
25174,32141002,Mesenteric abscess (disorder),disorder
25175,32142009,Group preventive medicine education (procedure),procedure
25177,32144005,Traumatic anuria (disorder),disorder
25182,32152008,Entire peduncular vein (body structure),body structure
25183,32153003,Structure of left lower limb (body structure),body structure
25187,32159004,Osteotomy of mandible by Gigli saw (procedure),procedure
25188,32161008,Internal gastrointestinal fistula (disorder),disorder
25189,32162001,Facial hemiplegia (disorder),disorder
25190,32163006,Tonsillar fossa structure (body structure),body structure
25192,32166003,"History taking, self-administered, questionnaire (procedure)",procedure
25194,32168002,Infection caused by Frenkelia (disorder),disorder
25195,32169005,Structure of lactiferous sinus (body structure),body structure
25196,32170006,Structure of lambdoid suture of skull (body structure),body structure
25197,32171005,Phytolacca americana poisoning (disorder),disorder
25198,32172003,"Retainers inlay, metallic, per tooth, in addition to inlay (procedure)",procedure
25199,32174002,Voice disorder due to psychosexual conflict (disorder),disorder
25203,32179007,Furuncle of nasal septum (disorder),disorder
25205,32181009,Structure of nasal spine of frontal bone (body structure),body structure
25206,32184001,Structure of accessory nerve internal branch (body structure),body structure
25207,32185000,Lateral decubitus position (finding),finding
25214,32189006,Pubiotomy (procedure),procedure
25216,32194006,Anomalous pulmonary venous drainage to hepatic veins (disorder),disorder
25218,32196008,"Epinephrine measurement, standing (procedure)",procedure
25222,32202006,Ligation of cisterna chyli (procedure),procedure
25223,32204007,Pulmonary actinobacillosis (disorder),disorder
25225,32206009,Structure of orbital septum (body structure),body structure
25226,32207000,Evaluation of facial expression (procedure),procedure
25227,32209002,Entire temporal branch of posterior cerebral artery (body structure),body structure
25228,32210007,Structure of columnar epithelium (body structure),body structure
25229,32214003,Digital palpation of pharynx (procedure),procedure
25230,32215002,Subacute radiation sickness (disorder),disorder
25232,32217005,Compact bone structure (body structure),body structure
25233,32218000,Biopsy of esophagus (procedure),procedure
25234,32219008,Craniorachischisis (disorder),disorder
25236,32222005,Structure of medial nasal process (body structure),body structure
25238,32224006,Coagulative necrosis (morphologic abnormality),morphologic abnormality
25241,32230006,Malabsorption syndrome (disorder),disorder
25243,32232003,Spina bifida of cervical region (disorder),disorder
25247,32236000,Leukoplakia of gingiva (disorder),disorder
25249,32238004,Empyemectomy (procedure),procedure
25253,32242001,Structure of fetal brow (body structure),body structure
25257,32250005,Burying of fimbriae of fallopian tube into uterine wall (procedure),procedure
25259,32252002,Arteriectomy with graft replacement of thoracic aorta (procedure),procedure
25260,32253007,"Antibody titration, anti-human globulin technique (procedure)",procedure
25261,32254001,Aspiration of soft tissue of hand (procedure),procedure
25262,32256004,Excision of aural polyp (procedure),procedure
25263,32257008,Structure of lens of both eyes (body structure),body structure
25264,32259006,Anterior eyeball segment structure (body structure),body structure
25267,32263004,Acute lymphangitis of forehead (disorder),disorder
25268,32265006,Pyelography with intravenous contrast (procedure),procedure
25269,32266007,Anicteric leptospirosis (disorder),disorder
25270,32268008,Tuberculosis of urinary bladder (disorder),disorder
25273,32271000,Arisaema triphyllum poisoning (disorder),disorder
25274,32272007,Sweat gland adenocarcinoma (morphologic abnormality),morphologic abnormality
25275,32274008,Stellate spontaneous pseudoscars (morphologic abnormality),morphologic abnormality
25277,32276005,Monitoring of cardiac output by Fick method (regime/therapy),regime/therapy
25279,32278006,Myeloma kidney (disorder),disorder
25280,32279003,Fetal movement finding (finding),finding
25282,32283003,Paper chromatography measurement (procedure),procedure
25283,32284009,Impaired glucose tolerance in nonobese (disorder),disorder
25286,32286006,Pneumonia in Q fever (disorder),disorder
25287,32287002,Poisoning caused by reversible anticholinesterase (disorder),disorder
25288,32288007,Serous cyst (morphologic abnormality),morphologic abnormality
25289,32289004,Brain imaging with vascular flow (procedure),procedure
25290,32290008,Hernia of fallopian tube (disorder),disorder
25292,32292000,Structure of dorsal nasal artery (body structure),body structure
25293,32293005,Structure of greater sciatic notch (body structure),body structure
25294,32294004,Deep third degree burn of lower leg (disorder),disorder
25295,32295003,Allergic ileitis (disorder),disorder
25296,32296002,Intraductal papillomatosis (morphologic abnormality),morphologic abnormality
25297,32298001,Intestinal infection caused by Trichomonas vaginalis (disorder),disorder
25298,32299009,Anomaly of chromosome pair 2 (disorder),disorder
25299,32301002,Structure of fatty capsule of kidney (body structure),body structure
25301,32303004,Glomerular basement membrane antibody-immunoglobulin G measurement (procedure),procedure
25304,32307003,Polyp of nasal sinus (disorder),disorder
25305,32308008,Structure of cervical spinal canal (body structure),body structure
25308,32311009,Closed fracture of base of thumb (disorder),disorder
25312,32315000,Fluphenazine measurement (procedure),procedure
25317,32321001,Open reduction of chronic closed sternoclavicular dislocation (procedure),procedure
25318,32322008,Subchondral bone cyst (morphologic abnormality),morphologic abnormality
25321,32325005,Inversion of diverticulum of small intestine (procedure),procedure
25322,32327002,Excision of lesion of stomach (procedure),procedure
25325,32331008,Foreign body in auricle (disorder),disorder
25326,32332001,Structure of mesentery of small intestine (body structure),body structure
25328,32334000,Incision and exploration of vulva (procedure),procedure
25330,32336003,Superficial injury of scapular region with infection (disorder),disorder
25331,32337007,Microdontia (disorder),disorder
25333,32339005,Longitudinal deficiency of metacarpal bone (disorder),disorder
25335,32341006,Removal of skull tongs (procedure),procedure
25336,32344003,Avulsion of peripheral nerve (procedure),procedure
25337,32345002,Gastrointestinal isotope fat absorption study (procedure),procedure
25339,32347005,Intranuclear cell product (cell structure),cell structure
25340,32350008,Intermediate delay of small flap at scalp (procedure),procedure
25342,32352000,Jackson Pratt maintenance (procedure),procedure
25347,32358001,Amphetamine delusional disorder (disorder),disorder
25348,32359009,Chandler operation for hip fusion (procedure),procedure
25350,32361000,Popliteal fossa structure (body structure),body structure
25351,32362007,Retroperitoneal abscess (disorder),disorder
25355,32368006,Lysis of adhesions of larynx (procedure),procedure
25356,32369003,Menopausal osteoporosis (disorder),disorder
25358,32371003,Contact dermatitis caused by neomycin (disorder),disorder
25360,32373000,Left occipital lobe structure (body structure),body structure
25362,32375007,"Myoglobin measurement, urine (procedure)",procedure
25363,32376008,Epicranius muscle structure (body structure),body structure
25364,32377004,Subcutaneous tissue structure of labiomental crease (body structure),body structure
25369,32383001,All interspinalis cervicis muscles (body structure),body structure
25370,32384007,Structure of nasal processes of embryo (body structure),body structure
25372,32387000,Acute selenium poisoning (disorder),disorder
25373,32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks (disorder)",disorder
25374,32389002,Actinobacillosis caused by Actinobacillus suis (disorder),disorder
25375,32390006,Panhypopituitarism (disorder),disorder
25376,32391005,Structure of cardiac plexus of thoracic sympathetic nervous system (body structure),body structure
25377,32392003,Acute osteomyelitis of jaw (disorder),disorder
25378,32393008,Poisoning caused by fluorouracil (disorder),disorder
25379,32394002,Acquired benign adrenal androgenic overactivity (disorder),disorder
25382,32398004,Bronchitis (disorder),disorder
25383,32399007,Urethral pressure profile study (procedure),procedure
25385,32401001,Lacrimal canaliculus structure (body structure),body structure
25386,32402008,Facial spasm (finding),finding
25388,32404009,Fasciotomy of toe (procedure),procedure
25389,32405005,Incision and drainage of hematoma of hip joint area (procedure),procedure
25390,32406006,Structure of postnodular fissure (body structure),body structure
25391,32407002,Perfusion of coronary artery (procedure),procedure
25392,32408007,Piecemeal necrosis (morphologic abnormality),morphologic abnormality
25394,32410009,Pederasty (disorder),disorder
25395,32411008,Structure of body fluid compartment (body structure),body structure
25397,32413006,Transplantation of heart (procedure),procedure
25398,32414000,Intraoperative sigmoidoscopy (procedure),procedure
25399,32416003,Atypical hyperplasia (morphologic abnormality),morphologic abnormality
25400,32417007,"Paquin operation, ureteroneocystostomy (procedure)",procedure
25402,32419005,Parathyroidectomy with mediastinal exploration by cervical approach (procedure),procedure
25404,32421000,Structure of spinal sensory nerve (body structure),body structure
25405,32422007,Hemispatial neglect (finding),finding
25407,32424008,"Excision of lesion of eyelid, minor (procedure)",procedure
25408,32425009,"Right bundle branch block, anterior fascicular block AND posterior fascicular block (disorder)",disorder
25409,32427001,Structure of leaflet of tricuspid valve (body structure),body structure
25411,32430008,Structure of body of sixth thoracic vertebra (body structure),body structure
25413,32432000,Uterocentesis (procedure),procedure
25414,32434004,Pulmonary adenomatosis (morphologic abnormality),morphologic abnormality
25417,32438001,Excision of lesion of carotid body (procedure),procedure
25420,32442003,"Volume excess, primary hormone excess (disorder)",disorder
25421,32444002,Antibody to Mi-2 measurement (procedure),procedure
25424,32447009,Total ostectomy of radius and ulna (procedure),procedure
25425,32448004,Structure of cortex of occipital lobe (body structure),body structure
25426,32450007,Injury of ileocolic vein (disorder),disorder
25429,32454003,Congenital anomaly of the thyroid gland (disorder),disorder
25430,32456001,Desmoplastic medulloblastoma (morphologic abnormality),morphologic abnormality
25435,32463001,Primary water-clear cell hyperplasia (disorder),disorder
25436,32464007,Silver measurement (procedure),procedure
25444,32475006,F>2< generation (finding),finding
25446,32477003,Heart-lung transplant with recipient cardiectomy-pneumonectomy (procedure),procedure
25448,32479000,Structure of subcutaneous portion of sphincter ani externus muscle (body structure),body structure
25450,32482005,Orthostatic proteinuria (finding),finding
25451,32483000,Angiectomy with anastomosis of thoracic artery (procedure),procedure
25452,32484006,Destructive procedure of vein (procedure),procedure
25453,32485007,Hospital admission (procedure),procedure
25454,32487004,Gallium measurement (procedure),procedure
25456,32490005,Acute duodenal ulcer without hemorrhage AND without perforation (disorder),disorder
25457,32492002,Excision of accessory navicular bone (procedure),procedure
25458,32493007,Entire non-articular part of tubercle of seventh rib (body structure),body structure
25459,32494001,Structure of lymphatic vessel of diaphragm (body structure),body structure
25460,32495000,Repair of bone of skull (procedure),procedure
25462,32497008,Fracture of larynx (disorder),disorder
25467,32503000,Structure of endocardium of left ventricle (body structure),body structure
25470,32506008,Internal fetal rotation (finding),finding
25472,32511005,"Disability evaluation, impairment, class 1 (finding)",finding
25473,32512003,"Extra-adrenal paraganglioma, malignant (morphologic abnormality)",morphologic abnormality
25474,32514002,Clotting factor V assay (procedure),procedure
25475,32515001,Senile atrophy of cervix (disorder),disorder
25476,32516000,Structure of conus medullaris (body structure),body structure
25477,32517009,Normal granulocyte production (finding),finding
25478,32518004,Poisoning caused by diazoxide (disorder),disorder
25480,32521002,Toxicodendron vernix poisoning (disorder),disorder
25483,32527003,Staphylococcal enterocolitis (disorder),disorder
25485,32529000,"Reconstruction of eyelid, full-thickness, involving lid margin (procedure)",procedure
25486,32530005,Structure of inferior bulb of internal jugular vein (body structure),body structure
25489,32534001,Biopsy of spleen (procedure),procedure
25491,32541007,Paramnesia (finding),finding
25492,32543005,Transcatheter therapy with bougienage (procedure),procedure
25493,32545003,Human immunodeficiency virus-2 antigen assay (procedure),procedure
25494,32546002,"Basal lamina, lamina densa component (cell structure)",cell structure
25498,32551008,Structure of articular capsule (body structure),body structure
25499,32552001,Organic delusional disorder caused by psychoactive substance (disorder),disorder
25500,32553006,Hangover (finding),finding
25501,32554000,"Bone marrow aspiration procedure, sternum (procedure)",procedure
25502,32555004,"Restoration, inlay, porcelain/ceramic, three surfaces (procedure)",procedure
25503,32556003,Wyeomyia virus disease (disorder),disorder
25504,32557007,"Epidural injection of contrast substance, lumbar (procedure)",procedure
25505,32558002,Structure of pterygopharyngeal part of superior constrictor pharyngeus muscle (body structure),body structure
25506,32559005,Reconstruction of penis (procedure),procedure
25511,32564009,Arterial specimen collection for laboratory test (procedure),procedure
25512,32565005,Basal lamina of epithelial cell or tissue (cell structure),cell structure
25513,32566006,Dysmetria (finding),finding
25515,32570003,Structure of tonsillar artery (body structure),body structure
25516,32571004,"Lipid droplet, complex (cell structure)",cell structure
25517,32572006,Physical handicap (finding),finding
25518,32573001,Structure of abductor pollicis brevis muscle (body structure),body structure
25519,32574007,"Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms (disorder)",disorder
25520,32575008,Structure of afferent lymphatic vessel of lymph node (body structure),body structure
25522,32577000,Radical excision of preauricular sinus of ear (procedure),procedure
25523,32578005,Biopsy of appendix (procedure),procedure
25524,32579002,Obliteration of lacrimal canaliculi (procedure),procedure
25525,32580004,Inflammation of intestine caused by Enterovirus (disorder),disorder
25526,32581000,Partial hip replacement by cup with acetabuloplasty (procedure),procedure
25527,32582007,Chronic oophoritis (disorder),disorder
25528,32587001,Rupture of fallopian tube (disorder),disorder
25530,32589003,Use of crutch education (procedure),procedure
25531,32590007,Premenopausal amenorrhea (finding),finding
25533,32595002,Mononeuritis (disorder),disorder
25534,32596001,"Phenothiazine measurement, qualitative (procedure)",procedure
25535,32597005,Excision of tracheal tumor by thoracic approach (procedure),procedure
25536,32599008,Hemodialysis-associated amyloidosis (disorder),disorder
25537,32600006,Complication of reattached lower extremity (disorder),disorder
25539,32602003,Local excision of lesion of joint of hand (procedure),procedure
25540,32603008,Entire palmar carpometacarpal ligament (body structure),body structure
25541,32605001,Transient neonatal disorder of coagulation (disorder),disorder
25542,32606000,Marsupialization of cyst of brain (procedure),procedure
25543,32607009,Reduction of closed sesamoid fracture (procedure),procedure
25544,32608004,Fibrosis of corpus cavernosum (disorder),disorder
25546,32610002,Structure of basal nucleus (body structure),body structure
25547,32611003,Structure of rectal ampulla (body structure),body structure
25548,32612005,Disorder of purine metabolism (disorder),disorder
25550,32614006,Microglossia (disorder),disorder
25551,32615007,Austin Flint murmur (finding),finding
25555,32620007,Pulpitis (disorder),disorder
25557,32622004,Descending colon structure (body structure),body structure
25558,32623009,Immunodiffusion measurement (procedure),procedure
25561,32626001,Provision of external compensating shield (procedure),procedure
25565,32632006,Excision of artery of head and neck (procedure),procedure
25569,32636009,Periostitis of shoulder region (disorder),disorder
25570,32637000,Structure of white matter of parietal lobe (body structure),body structure
25571,32638005,Amputation of glans penis (procedure),procedure
25574,32643003,Hedblom's syndrome (disorder),disorder
25575,32644009,Braxton Hicks contractions (finding),finding
25576,32645005,Removal of foreign body of lacrimal gland (procedure),procedure
25579,32648007,Mild hereditary spherocytosis due to spectrin deficiency (disorder),disorder
25582,32651000,Arteriolosclerosis with fibrinoid necrosis (morphologic abnormality),morphologic abnormality
25585,32655009,Structure of mammary region (body structure),body structure
25586,32656005,Structure of oblique line of thyroid cartilage (body structure),body structure
25589,32659003,Congenital hypoplasia of kidney (disorder),disorder
25590,32660008,Antibody to PM-1 measurement (procedure),procedure
25591,32661007,Transfer of anterior tibial tendon into tarsal bone (procedure),procedure
25594,32665003,Scrotal hernia (disorder),disorder
25598,32671009,"Hyperlipoproteinemia diet, type IIa (finding)",finding
25599,32672002,Structure of descending thoracic aorta (body structure),body structure
25600,32673007,Probing of nasolacrimal duct with irrigation (procedure),procedure
25601,32675000,Ligation of vein (procedure),procedure
25603,32678003,Total ostectomy for graft of mandible (procedure),procedure
25604,32679006,Lateral malleolar arterial network structure (body structure),body structure
25605,32680009,Nothnagel's syndrome (disorder),disorder
25610,32687007,Anastomosis of extracranial-intracranial arteries (procedure),procedure
25616,32693004,Demyelination (morphologic abnormality),morphologic abnormality
25617,32694005,Wedge osteotomy of ulna (procedure),procedure
25618,32695006,Arsanilic acid poisoning (disorder),disorder
25619,32696007,Structure of right lower leg (body structure),body structure
25621,32700004,Infection caused by Ostertagia ostertagi (disorder),disorder
25623,32704008,Structure of Hesselbach's triangle (body structure),body structure
25626,32709003,Addiction (finding),finding
25630,32713005,Cecum structure (body structure),body structure
25635,32721004,"Bulimia nervosa, purging type (disorder)",disorder
25636,32722006,Poisoning caused by aluminum hydroxide (disorder),disorder
25637,32723001,Puncture and drainage of Rathke's pouch (procedure),procedure
25639,32726009,Solid phase fluoroimmunoassay (procedure),procedure
25641,32728005,Hemorrhage due to ruptured congenital cerebral aneurysm (disorder),disorder
25642,32729002,Thyroid uptake with thyroid suppression (procedure),procedure
25643,32730007,"Widened split of first heart sound, S>1< (finding)",finding
25644,32731006,Structure of subfascial bursa (body structure),body structure
25645,32733009,"Ventriculocisternostomy, third ventricle, stereotactic method (procedure)",procedure
25646,32734003,Crushing injury of multiple sites of trunk (disorder),disorder
25647,32735002,Congenital syphilitic encephalitis (disorder),disorder
25649,32739008,Crutch paralysis (disorder),disorder
25650,32740005,Lumbar hernia with gangrene (disorder),disorder
25654,32742002,Structure of medial arch of foot (instep) (body structure),body structure
25655,32743007,Structure of ciliary vein (body structure),body structure
25657,32745000,Removal of implant of middle ear (procedure),procedure
25658,32746004,Direct fluorescent antibody test for syphilis (procedure),procedure
25661,32750006,Inspection (procedure),procedure
25663,32753008,Structure of arch of third cervical vertebra (body structure),body structure
25665,32758004,Right bundle branch block with left bundle branch block (disorder),disorder
25667,32760002,Exudative otitis media (disorder),disorder
25670,32764006,Portal vein structure (body structure),body structure
25672,32767004,Aesculus hippocastanum poisoning (disorder),disorder
25679,32774009,Biopsy of pancreas (procedure),procedure
25680,32775005,Indeterminate axis by electrocardiogram (finding),finding
25682,32779004,Dopamine measurement (procedure),procedure
25683,32781002,Structure of medial root of optic tract (body structure),body structure
25685,32783004,Excision of lacrimal gland tumor by frontal approach (procedure),procedure
25687,32787003,Cauterization of eyelid (procedure),procedure
25688,32788008,Lamellar resection of sclera with implant (procedure),procedure
25690,32791008,Structure of chorion laeve (body structure),body structure
25692,32794000,Bone turnover rate decreased (finding),finding
25694,32796003,Esophagoscopy for direct dilation (procedure),procedure
25696,32798002,Parkinsonism (disorder),disorder
25699,32801008,Acute pyelitis (disorder),disorder
25700,32802001,Decrease of specific gravity (procedure),procedure
25701,32803006,Structure of subendosteum (body structure),body structure
25702,32804000,Excision of hydrocele of spermatic cord (procedure),procedure
25703,32805004,Fractures of multiple bones of lower limb (disorder),disorder
25704,32806003,Disturbance in suggestibility (finding),finding
25705,32808002,Brow left posterior position (finding),finding
25706,32809005,Congenital anomaly of sclera (disorder),disorder
25708,32813003,Cytokine assay (procedure),procedure
25710,32819004,Increased thigh circumference (finding),finding
25711,32820005,Structure of clinical root of tooth (body structure),body structure
25715,32825000,Perforation due to foreign body accidentally left in operative wound AND/OR body cavity during a procedure (disorder),disorder
25717,32827008,Cryotherapy of skin lesion with carbon dioxide (procedure),procedure
25718,32828003,Concanavalin A assay (procedure),procedure
25723,32833004,Removal of anterior instrumentation of spine (procedure),procedure
25724,32834005,Brief loss of consciousness (finding),finding
25726,32837003,Hemangioblastomatosis (morphologic abnormality),morphologic abnormality
25727,32838008,Asterixis (finding),finding
25728,32839000,Structure of spinous process of eighth thoracic vertebra (body structure),body structure
25730,32843001,Structure of posterior calcaneal articular surface of talus (body structure),body structure
25731,32844007,Mixed germ cell tumor (morphologic abnormality),morphologic abnormality
25732,32845008,"Alcohol measurement, urine (procedure)",procedure
25734,32849002,Esophageal structure (body structure),body structure
25738,32853000,Ischiorectal fossa structure (body structure),body structure
25740,32855007,Hereditary persistence of fetal hemoglobin unlinked to beta-globulin gene cluster (disorder),disorder
25741,32856008,"Glasgow coma scale, 8 (finding)",finding
25743,32858009,Hemolytic disease of fetus OR newborn due to ABO immunization (disorder),disorder
25744,32859001,Structure of inferior mesenteric vein (body structure),body structure
25746,32861005,Erythema nodosum (disorder),disorder
25749,32865001,Postoperative adhesions of vagina (disorder),disorder
25754,32874004,Foreign body in auditory canal (disorder),disorder
25756,32875003,Inhalant-induced persisting dementia (disorder),disorder
25759,32880007,Adjustment disorder with work inhibition (disorder),disorder
25761,32883009,Oral submucosal fibrosis (disorder),disorder
25762,32884003,Hematin pigmentation (morphologic abnormality),morphologic abnormality
25763,32885002,Structure of costal aspect of scapula (body structure),body structure
25764,32887005,Neuroplasty of nerve of hand (procedure),procedure
25766,32890004,Injury of azygos vein (disorder),disorder
25767,32891000,Rotor syndrome (disorder),disorder
25769,32893002,Phacolytic glaucoma (disorder),disorder
25770,32894008,Bone graft of patella (procedure),procedure
25771,32895009,Hereditary disease (disorder),disorder
25773,32897001,"Serum antimicrobial level, radioimmunoassay method (procedure)",procedure
25775,32899003,Resection of subvalvular tissue for discrete subvalvular aortic stenosis (procedure),procedure
25778,32904004,Pneumococcal laryngitis (disorder),disorder
25779,32905003,Excision of recurrent thyroglossal duct cyst (procedure),procedure
25780,32906002,"Victim, pedestrian in vehicular AND/OR traffic accident (finding)",finding
25781,32907006,Operation on aorta (procedure),procedure
25782,32908001,Assessment and interpretation of higher cerebral function (procedure),procedure
25783,32909009,Atrophoderma neuriticum (disorder),disorder
25784,32910004,Structure of pulmonary surface of heart (body structure),body structure
