,concept_id,concept_name,hierarchy
205,351005,Urinary undiversion of ureteral anastomosis (procedure),procedure
206,352003,Preparation of antibody sensitized pooled reagent red blood cells (procedure),procedure
207,354002,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation (morphologic abnormality),morphologic abnormality
208,355001,Hemorrhagic shock (disorder),disorder
209,356000,Structure of reticular corium (body structure),body structure
210,357009,Closed fracture of trapezoidal bone of wrist (disorder),disorder
211,359007,Kernicterus due to isoimmunization (disorder),disorder
212,360002,Acute radiation disease (disorder),disorder
216,366008,Hidromeiosis (finding),finding
217,367004,Clubbing (morphologic abnormality),morphologic abnormality
218,368009,Heart valve disorder (disorder),disorder
219,369001,Jugular venous pressure within reference range (finding),finding
223,374009,Costosternoplasty for pectus excavatum repair (procedure),procedure
227,378007,Morquio syndrome (disorder),disorder
231,382009,Legal history finding relating to child (finding),finding
232,383004,Finding of passive range of hip extension (finding),finding
233,385006,Secondary peripheral neuropathy (disorder),disorder
235,387003,Melanuria (finding),finding
236,388008,Blepharorrhaphy (procedure),procedure
237,389000,Tobramycin measurement (procedure),procedure
242,393006,Structure of wall of urinary bladder (body structure),body structure
243,394000,Abnormal trabeculation (morphologic abnormality),morphologic abnormality
246,398002,Left axis deviation greater than -90 degrees by electrocardiogram (finding),finding
248,401004,Distal subtotal pancreatectomy (procedure),procedure
249,402006,Structure of dental branch of inferior alveolar artery (body structure),body structure
251,405008,Entire posterior temporal diploic vein (body structure),body structure
252,406009,Fulguration of stomach lesion (procedure),procedure
253,407000,Congenital hepatomegaly (disorder),disorder
254,408005,Tooth chattering (finding),finding
255,409002,Food allergy diet (finding),finding
260,414003,Gastric fundus structure (body structure),body structure
263,417005,Hospital re-admission (procedure),procedure
264,419008,Functional dilatation (morphologic abnormality),morphologic abnormality
265,420002,"Anastomosis, heterocladic (morphologic abnormality)",morphologic abnormality
267,422005,Structure of inferior surface of tongue (body structure),body structure
271,426008,Superficial injury of ankle without infection (disorder),disorder
274,431005,Hypertrophy of scrotum (disorder),disorder
277,435001,Pulmonary inhalation study (procedure),procedure
280,437009,Abnormal composition of urine (finding),finding
282,440009,Persistent hyperphenylalaninemia (disorder),disorder
283,442001,Secondary hypopituitarism (disorder),disorder
284,443006,Cystocele affecting pregnancy (disorder),disorder
286,445004,Repair of malunion of tibia (procedure),procedure
287,446003,Structure of trochanteric bursa (body structure),body structure
288,447007,Coach in sports activity accident (finding),finding
291,450005,Ulcerative stomatitis (disorder),disorder
293,452002,Blister of groin without infection (disorder),disorder
296,456004,Total abdominal colectomy with ileostomy (procedure),procedure
297,457008,Structure of collateral ligament (body structure),body structure
298,459006,Closed condylotomy of mandible (procedure),procedure
299,460001,Squamous metaplasia of prostate gland (disorder),disorder
300,461002,Structure of lateral corticospinal tract (body structure),body structure
304,463004,Closed reduction of coxofemoral joint dislocation with splint (procedure),procedure
306,465006,Structure of ascending frontal gyrus (body structure),body structure
308,467003,Old laceration of muscles of pelvic floor (disorder),disorder
309,468008,Glutathione measurement (procedure),procedure
310,470004,Vitreous touch syndrome (disorder),disorder
311,471000,Flexor hallucis longus muscle structure (body structure),body structure
313,474008,"Esophagoenteric anastomosis, intrathoracic (procedure)",procedure
317,479003,Graves' disease with pretibial myxedema AND with thyrotoxic crisis (disorder),disorder
318,480000,Cardiopulmonary circulatory system structure (body structure),body structure
322,485005,Transverse colon structure (body structure),body structure
323,486006,Acute vascular insufficiency (disorder),disorder
324,488007,Fibroid myocarditis (disorder),disorder
325,489004,Ferritin measurement (procedure),procedure
326,490008,Upper respiratory tract hypersensitivity reaction (disorder),disorder
327,493005,"Urobilinogen measurement, 48-hour, feces (procedure)",procedure
328,494004,Excision of lesion of tonsil (procedure),procedure
329,496002,Closed traumatic dislocation of third cervical vertebra (disorder),disorder
